user_name,text,hashtags,id,urls,expanded_url,media_id,media_url,type,date,user_mentions_screenname,user_mentions_name,user_mentions_id,followers
steam_games,"MIDWEEK MADNESS __ Save 35% on Divinity: Original Sin 2 _ Definitiv Edition,Learn more:ÿ https://t.co/TJhgZOkvMh", ,#1103071421373116421,https://t.co/eKWcZxaSkB,'https://store.steampowered.com/app/501300/What_Remains_of_Edith_Finch/,"#1102996883650174976, ",http://pbs.twimg.com/media/D06h0l5U4AAQfic.jpg,photo,2019/3/5 18:18,A_i,Annapurna Interactive,#757616569593638000,4987785
steam_games,"DAILY DEAL __ Save 60% on What Remains of Edith Finch,Learn more: https://t.co/eKWcZxaSkB#SteamDeals @A_i https://t.co/IGOzUFfa1x",steamdeals,#1102996896753176576,https://t.co/YhD0Nryx19,https://store.steampowered.com/app/574560/Dude_Stop/,# 1102996611007885317,http://pbs.twimg.com/media/D06hkuOVsAUYM1X.jpg,photo,2019/3/5 18:18,NULL,NULL,NULL,4987785
steam_games,"DAILY DEAL __ Save 45% on Dude, Stop,Learn more: https://t.co/YhD0Nryx19#SteamDeals https://t.co/2T41vwFHnf",steamdeals,#1102996721024430080,https://t.co/pkdoVJlU1H,https://store.steampowered.com/app/386940/Ultimate_Chicken_Horse/,# 1102996307671638017,pic.twitter.com/tzb5MCP3le,photo,2019/3/5 18:16,NULL,NULL,NULL,4987785
steam_games,"MIDWEEK MADNESS __ Save 50% on Ultimate Chicken Horse,Learn more: https://t.co/pkdoVJlU1H#SteamDeals https://t.co/tzb5MCP3le", ,#1102996406069940224,https://t.co/TJhgZOkvMh,https://twitter.com/i/web/status/1103071421373116421, , ,text,2019/3/5 18:14,NULL,NULL,NULL,4987785
steam_games,MIDWEEK MADNESS __ Save up to 75% on the Tropico franchise!Learn more: https://t.co/mbU9jDhMN3#SteamDealsÿ https://t.co/o3lhB77jSZ, ,#1102995893567991808,https://t.co/mbU9jDhMN3,ttps://store.steampowered.com/app/574560/Dude_Stop/,"# 1102995554034843648, ",http://pbs.twimg.com/media/D06hkuOVsAUYM1X.jpg,photo,2019/3/5 18:13,NULL,NULL,NULL,4987785
steam_games,"MIDWEEK MADNESS __ Save 25% on X4,Learn more: https://t.co/KDnr52jgw0ÿ#SteamDeals @EGOSOFT https://t.co/AGL2tidO3F", ,#1102995568081555456,https://t.co/Svayxzi4wK,https://store.steampowered.com/app/638970/Yakuza_0/,"# 1102645568730423296,",http://pbs.twimg.com/media/D01iTX1V4AAaeQI.jpg,photo,2019/3/4 19:02,SEGA,SEGA,#17092592,4987785
steam_games,"DAILY DEAL __ Save 33% on Yakuza 0,Learn more: https://t.co/Svayxzi4wK#SteamDeals @SEGA https://t.co/UYP9tzpiJf",steamdeals,#1102645620320296960,https://t.co/h0Q3AQAgOh,https://store.steampowered.com/app/464060/RUINER/,# 1102644848719360000, ,text,2019/3/4 19:01,devolverdigital,Devolver Digital,#41609275,4987785
steam_games,"DAILY DEAL __ Save 60% on RUINER,Learn more: https://t.co/h0Q3AQAgOh#SteamDeals @devolverdigital https://t.co/Q08sdAjZhP",steamdeals,#1102645317814476800,https://t.co/pUNf2WHQ7z,https://store.steampowered.com/app/219640/Chivalry_Medieval_Warfare/, , ,text,2019/3/3 18:30,NULL,NULL,NULL,4987785
steam_games,"DAILY DEAL __ Save 85% on Chivalry: Medieval Warfare,Learn more: https://t.co/pUNf2WHQ7z#SteamDealsÿ https://t.co/rgrkwa0ebK",steamdeals,#1102274943264317440,https://t.co/tCoACXcI0y,https://store.steampowered.com/app/362960/Tyranny/,"# 1101638294557753344, ",http://pbs.twimg.com/media/D0nOMTIVAAAmSO-.jpg',photo,2019/3/3 18:30,PdxInteractive,Paradox Interactive,#19393570,4987785
steam_games,"DAILY DEAL __ Save 50% on Tyranny,Learn more: https://t.co/tCoACXcI0y#SteamDeals @PdxInteractive https://t.co/ti4wkphwGF",steamdeals,#1102274942521946113,https://t.co/Z2QhnIQGnM',https://store.steampowered.com/app/1037200/Offworld_Trading_Company__Core_Game/, , ,text,2019/3/2 18:30,NULL,NULL,NULL,4987785
